sector,subsector,technology,Reporting.sector,Reporting.use,Reporting.technology
agricultural energy use,mobile,electricity,Industry,Agriculture,
agricultural energy use,mobile,hydrogen,Industry,Agriculture,
agricultural energy use,mobile,refined liquids,Industry,Agriculture,
agricultural energy use,stationary,biomass,Industry,Agriculture,
agricultural energy use,stationary,coal,Industry,Agriculture,
agricultural energy use,stationary,electricity,Industry,Agriculture,
agricultural energy use,stationary,gas,Industry,Agriculture,
agricultural energy use,stationary,hydrogen,Industry,Agriculture,
agricultural energy use,stationary,refined liquids,Industry,Agriculture,
alumina,biomass,biomass,Industry,Aluminum,
alumina,biomass,biomass CCS,Industry,Aluminum,CCS
alumina,gas,gas,Industry,Aluminum,
alumina,gas,gas CCS,Industry,Aluminum,CCS
alumina,refined liquids,refined liquids,Industry,Aluminum,
aluminum,electricity,electricity,Industry,Aluminum,
ammonia,gas,gas,Industry,Ammonia,
ammonia,gas,gas CCS,Industry,Ammonia,CCS
ammonia,hydrogen,hydrogen,Industry,Ammonia,
cement,cement,cement,Industry,Cement,
cement,cement,cement CCS,Industry,Cement,CCS
cement,cement,electro-cement,Industry,Cement,CCS
chemical energy use,biomass,biomass,Industry,Chemicals,Energy Use
chemical energy use,biomass,biomass CCS,Industry,Chemicals,Energy Use with CCS
chemical energy use,coal,coal,Industry,Chemicals,Energy Use
chemical energy use,coal,coal CCS,Industry,Chemicals,Energy Use with CCS
chemical energy use,electricity,electricity,Industry,Chemicals,Energy Use
chemical energy use,gas,gas,Industry,Chemicals,Energy Use
chemical energy use,gas,gas CCS,Industry,Chemicals,Energy Use with CCS
chemical energy use,hydrogen,hydrogen,Industry,Chemicals,Energy Use
chemical energy use,refined liquids,refined liquids,Industry,Chemicals,Energy Use
chemical energy use,refined liquids,refined liquids CCS,Industry,Chemicals,Energy Use with CCS
chemical feedstocks,gas,gas,Industry,Chemicals,Feedstocks
chemical feedstocks,refined liquids,refined liquids,Industry,Chemicals,Feedstocks
CO2 removal,dac,hightemp DAC elec,DAC,,
CO2 removal,dac,hightemp DAC NG,DAC,,
CO2 removal,dac,lowtemp DAC heatpump,DAC,,
comm cooking,electricity,electric range,Commercial,Cooking,Electric
comm cooking,electricity,electric range hi-eff,Commercial,Cooking,Electric
comm cooking,gas,gas range,Commercial,Cooking,Gas
comm cooking,gas,gas range hi-eff,Commercial,Cooking,Gas
comm cooling,electricity,air conditioning,Commercial,Cooling,Electric
comm cooling,electricity,air conditioning hi-eff,Commercial,Cooling,Electric
comm cooling,gas,gas cooling,Commercial,Cooling,Gas
comm heating,biomass,wood furnace,Commercial,Heating,Wood
comm heating,coal,coal furnace,Commercial,Heating,Coal
comm heating,electricity,electric furnace,Commercial,Heating,Electric resistance
comm heating,electricity,electric heat pump,Commercial,Heating,Electric heat pump
comm heating,gas,gas furnace,Commercial,Heating,Gas
comm heating,gas,gas furnace hi-eff,Commercial,Heating,Gas
comm heating,refined liquids,fuel furnace,Commercial,Heating,Liquids
comm hot water,electricity,electric heat pump water heater,Commercial,Hot water,Electric heat pump
comm hot water,electricity,electric resistance water heater,Commercial,Hot water,Electric resistance
comm hot water,gas,gas water heater,Commercial,Hot water,Gas
comm hot water,gas,gas water heater hi-eff,Commercial,Hot water,Gas
comm hot water,refined liquids,fuel water heater,Commercial,Hot water,Liquids
comm lighting,electricity,fluorescent,Commercial,Lighting,Electric
comm lighting,electricity,incandescent,Commercial,Lighting,Electric
comm lighting,electricity,solid state,Commercial,Lighting,Electric
comm non-building,electricity,electricity,Commercial,Non-building,Electric
comm office,electricity,office equipment,Commercial,Office,Electric
comm other,electricity,electricity,Commercial,Other,Electric
comm other,gas,gas,Commercial,Other,Gas
comm other,refined liquids,refined liquids,Commercial,Other,Liquids
comm refrigeration,electricity,refrigeration,Commercial,Refrigeration,Electric
comm refrigeration,electricity,refrigeration hi-eff,Commercial,Refrigeration,Electric
